Frame 1: Sorpresa: 0.0122, Miedo: 0.0059, Enojado: 0.0132, Neutral: 0.3897, Triste: 0.0720, Disgustado: 0.1533, Feliz: 0.3537
Frame 2: Sorpresa: 0.0459, Miedo: 0.0134, Enojado: 0.4446, Neutral: 0.0478, Triste: 0.0158, Disgustado: 0.0934, Feliz: 0.3391
Frame 3: Sorpresa: 0.0224, Miedo: 0.0021, Enojado: 0.0355, Neutral: 0.3243, Triste: 0.0238, Disgustado: 0.1121, Feliz: 0.4798
Frame 4: Sorpresa: 0.0091, Miedo: 0.0010, Enojado: 0.0098, Neutral: 0.0973, Triste: 0.0140, Disgustado: 0.0286, Feliz: 0.8402
Frame 5: Sorpresa: 0.0769, Miedo: 0.0021, Enojado: 0.0738, Neutral: 0.2702, Triste: 0.0639, Disgustado: 0.4346, Feliz: 0.0786
Frame 6: Sorpresa: 0.0285, Miedo: 0.0004, Enojado: 0.0052, Neutral: 0.0321, Triste: 0.0073, Disgustado: 0.0167, Feliz: 0.9098
Frame 7: Sorpresa: 0.0818, Miedo: 0.0117, Enojado: 0.2076, Neutral: 0.0386, Triste: 0.0750, Disgustado: 0.1674, Feliz: 0.4179
Frame 8: Sorpresa: 0.0443, Miedo: 0.0039, Enojado: 0.0224, Neutral: 0.1174, Triste: 0.0273, Disgustado: 0.0971, Feliz: 0.6875
Frame 9: Sorpresa: 0.0030, Miedo: 0.0004, Enojado: 0.0031, Neutral: 0.0449, Triste: 0.0110, Disgustado: 0.0357, Feliz: 0.9020
Frame 10: Sorpresa: 0.0142, Miedo: 0.0003, Enojado: 0.0009, Neutral: 0.0471, Triste: 0.0203, Disgustado: 0.0300, Feliz: 0.8871
Frame 11: Sorpresa: 0.0489, Miedo: 0.0013, Enojado: 0.0111, Neutral: 0.0108, Triste: 0.0050, Disgustado: 0.0141, Feliz: 0.9087
Frame 12: Sorpresa: 0.0109, Miedo: 0.0018, Enojado: 0.0118, Neutral: 0.2314, Triste: 0.0959, Disgustado: 0.1811, Feliz: 0.4670
Frame 13: Sorpresa: 0.0007, Miedo: 0.0000, Enojado: 0.0001, Neutral: 0.0154, Triste: 0.0013, Disgustado: 0.0031, Feliz: 0.9795
Frame 14: Sorpresa: 0.0014, Miedo: 0.0004, Enojado: 0.0008, Neutral: 0.0076, Triste: 0.0035, Disgustado: 0.0042, Feliz: 0.9821
Frame 15: Sorpresa: 0.0022, Miedo: 0.0007, Enojado: 0.0022, Neutral: 0.0041, Triste: 0.0040, Disgustado: 0.0069, Feliz: 0.9799
Frame 16: Sorpresa: 0.0020, Miedo: 0.0002, Enojado: 0.0009, Neutral: 0.0121, Triste: 0.0009, Disgustado: 0.0043, Feliz: 0.9796
Frame 17: Sorpresa: 0.0008, Miedo: 0.0000, Enojado: 0.0001, Neutral: 0.0008, Triste: 0.0006, Disgustado: 0.0004, Feliz: 0.9972
Frame 18: Sorpresa: 0.0007, Miedo: 0.0002, Enojado: 0.0005, Neutral: 0.0052, Triste: 0.0021, Disgustado: 0.0044, Feliz: 0.9868
Frame 19: Sorpresa: 0.0068, Miedo: 0.0012, Enojado: 0.0055, Neutral: 0.0253, Triste: 0.0063, Disgustado: 0.0383, Feliz: 0.9166
Frame 20: Sorpresa: 0.0021, Miedo: 0.0003, Enojado: 0.0049, Neutral: 0.0043, Triste: 0.0075, Disgustado: 0.0104, Feliz: 0.9704
Frame 21: Sorpresa: 0.0011, Miedo: 0.0001, Enojado: 0.0003, Neutral: 0.0124, Triste: 0.0037, Disgustado: 0.0054, Feliz: 0.9770
Frame 22: Sorpresa: 0.0005, Miedo: 0.0000, Enojado: 0.0001, Neutral: 0.0016, Triste: 0.0004, Disgustado: 0.0008, Feliz: 0.9965
Frame 23: Sorpresa: 0.0009, Miedo: 0.0001, Enojado: 0.0003, Neutral: 0.0126, Triste: 0.0086, Disgustado: 0.0061, Feliz: 0.9715
Frame 24: Sorpresa: 0.0005, Miedo: 0.0000, Enojado: 0.0001, Neutral: 0.0068, Triste: 0.0018, Disgustado: 0.0041, Feliz: 0.9866
Frame 25: Sorpresa: 0.0006, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0030, Triste: 0.0003, Disgustado: 0.0013, Feliz: 0.9948
Frame 26: Sorpresa: 0.0123, Miedo: 0.0003, Enojado: 0.0005, Neutral: 0.0296, Triste: 0.0106, Disgustado: 0.0162, Feliz: 0.9305
Frame 27: Sorpresa: 0.0026, Miedo: 0.0001, Enojado: 0.0006, Neutral: 0.0087, Triste: 0.0116, Disgustado: 0.0179, Feliz: 0.9585
Frame 28: Sorpresa: 0.0044, Miedo: 0.0001, Enojado: 0.0002, Neutral: 0.0102, Triste: 0.0017, Disgustado: 0.0033, Feliz: 0.9801
